Timestamp,MQ4,MQ3,MQ7,MQ135,MQ136,Temp,Hum,PM,Label,Time
15:05:24.373,357,270,491,258,455,34.5,35.9,753,0,2024-12-01 12:06:53
15:41:12.462,339,239,503,258,454,34.2,36.3,540,0,2024-12-01 12:06:54
14:46:08.976,314,241,464,246,446,34.3,35.3,286,0,2024-12-01 12:06:55
15:26:31.146,344,251,484,270,460,33.9,36.0,577,0,2024-12-01 12:06:56
15:20:15.667,344,265,545,257,461,33.8,35.9,723,0,2024-12-01 12:06:57
15:46:10.367,337,333,499,274,464,33.5,36.4,518,0,2024-12-01 12:06:58
15:16:44.260,341,253,484,243,439,33.6,35.9,713,0,2024-12-01 12:06:59
15:47:54.435,340,252,501,276,444,33.2,36.4,594,0,2024-12-01 12:07:00
15:38:09.191,326,252,519,273,441,33.0,36.6,528,0,2024-12-01 12:07:01
15:09:59.297,325,248,480,253,450,33.1,35.9,779,0,2024-12-01 12:07:02
15:27:18.160,343,256,492,249,461,32.9,36.1,847,0,2024-12-01 12:07:03
15:13:51.375,335,253,472,242,446,32.8,35.7,714,0,2024-12-01 12:07:04
15:06:57.931,336,237,482,237,447,32.8,35.6,709,0,2024-12-01 12:07:05
15:22:31.386,338,250,489,281,464,32.4,35.9,617,0,2024-12-01 12:07:06
15:03:20.125,297,276,469,244,450,32.4,35.7,802,0,2024-12-01 12:07:07
15:02:51.044,329,251,477,243,451,32.2,35.6,691,0,2024-12-01 12:07:08
15:31:00.564,354,243,516,260,445,32.0,36.0,544,0,2024-12-01 12:07:09
14:48:09.389,322,263,478,265,450,31.9,35.5,357,0,2024-12-01 12:07:10
15:13:59.309,323,258,476,255,459,31.8,35.7,739,0,2024-12-01 12:07:11
15:22:38.250,342,252,546,262,449,31.5,36.1,735,0,2024-12-01 12:07:12
14:55:13.513,335,273,471,241,446,31.5,35.4,615,0,2024-12-01 12:07:13
15:30:34.159,339,257,524,247,453,31.2,36.1,613,0,2024-12-01 12:07:14
15:53:28.745,349,247,493,354,459,30.9,36.5,467,0,2024-12-01 12:07:15
15:01:48.673,331,263,467,255,451,31.1,35.5,568,0,2024-12-01 12:07:16
14:59:09.099,339,269,502,241,451,30.8,35.6,653,0,2024-12-01 12:07:17
14:50:32.523,327,285,458,249,458,30.8,35.3,445,0,2024-12-01 12:07:18
15:07:31.236,328,241,474,259,454,30.5,35.7,683,0,2024-12-01 12:07:19
15:49:55.383,331,261,481,264,457,30.2,36.4,527,0,2024-12-01 12:07:20
14:57:37.169,330,257,470,236,450,30.2,35.6,624,0,2024-12-01 12:07:21
15:04:52.664,336,238,476,236,429,30.1,35.8,662,0,2024-12-01 12:07:22
15:21:23.262,342,248,480,252,444,29.9,35.9,586,0,2024-12-01 12:07:23
15:30:56.868,334,256,482,252,461,29.7,35.8,614,0,2024-12-01 12:07:24
14:48:41.078,307,256,462,249,452,29.7,35.3,321,0,2024-12-01 12:07:25
15:47:15.861,343,235,494,247,440,29.3,36.3,575,0,2024-12-01 12:07:26
15:24:35.477,342,253,480,257,430,29.2,36.0,624,0,2024-12-01 12:07:27
15:18:47.419,337,248,469,234,456,29.1,35.8,776,0,2024-12-01 12:07:28
15:36:52.086,337,246,494,272,444,28.8,36.7,676,0,2024-12-01 12:07:29
15:08:38.926,323,242,475,250,448,28.9,35.7,676,0,2024-12-01 12:07:30
15:07:02.685,332,224,487,240,449,28.7,35.7,764,0,2024-12-01 12:07:31
15:37:55.988,338,245,548,240,438,28.4,36.5,605,0,2024-12-01 12:07:32
15:21:01.084,332,264,475,241,419,28.4,36.0,685,0,2024-12-01 12:07:33
15:47:31.182,328,226,485,245,448,28.1,36.4,498,0,2024-12-01 12:07:34
14:54:00.096,318,278,471,247,452,28.2,35.4,577,0,2024-12-01 12:07:35
15:29:02.765,340,256,492,266,455,28.0,36.1,515,0,2024-12-01 12:07:36
14:58:52.190,330,248,471,239,442,27.8,35.6,591,0,2024-12-01 12:07:37
15:04:43.678,342,258,459,240,445,27.7,35.7,623,0,2024-12-01 12:07:38
15:31:34.365,315,251,493,254,442,27.4,35.9,587,0,2024-12-01 12:07:39
15:50:01.191,343,255,553,259,436,27.2,36.4,483,0,2024-12-01 12:07:40
15:19:37.100,319,233,456,245,436,27.2,35.9,825,0,2024-12-01 12:07:41
15:18:32.091,327,244,469,238,454,27.2,35.8,753,0,2024-12-01 12:07:42
14:52:42.974,337,262,476,237,444,27.0,35.4,561,0,2024-12-01 12:07:43
15:37:22.718,333,228,489,237,447,26.6,36.4,502,0,2024-12-01 12:07:44
15:28:21.554,329,228,478,237,450,26.5,36.1,598,0,2024-12-01 12:07:45
15:04:42.092,305,254,461,202,438,26.5,35.7,641,0,2024-12-01 12:07:46
14:46:32.742,317,248,460,233,439,26.4,35.8,386,0,2024-12-01 12:07:47
14:47:09.188,331,254,505,243,439,26.3,35.4,315,0,2024-12-01 12:07:48
15:55:31.283,335,253,532,257,447,25.8,36.4,515,0,2024-12-01 12:07:49
15:20:23.591,320,233,476,247,441,25.8,35.9,673,0,2024-12-01 12:07:50
15:26:07.381,322,244,473,297,443,25.6,36.1,584,0,2024-12-01 12:07:51
15:38:21.864,331,249,480,256,440,25.5,36.5,578,0,2024-12-01 12:07:52
15:34:14.976,289,247,450,264,442,25.3,36.3,498,0,2024-12-01 12:07:53
15:40:03.266,326,242,473,258,449,25.0,36.4,569,0,2024-12-01 12:07:54
15:24:12.242,343,244,480,246,438,25.0,36.1,629,0,2024-12-01 12:07:55
15:24:47.629,335,249,477,254,462,25.0,36.2,651,0,2024-12-01 12:07:56
15:55:13.852,343,254,492,264,441,24.5,36.5,513,0,2024-12-01 12:07:57
15:44:59.059,330,253,493,264,437,24.6,36.4,564,0,2024-12-01 12:07:58
14:59:28.647,332,246,459,234,444,24.5,35.4,163,0,2024-12-01 12:07:59
15:08:13.540,320,224,477,229,442,24.4,35.7,723,0,2024-12-01 12:08:00
15:49:00.993,325,248,480,256,419,24.1,36.7,469,0,2024-12-01 12:08:01
14:59:17.028,339,240,443,214,436,24.2,35.4,744,0,2024-12-01 12:08:02
15:24:07.488,314,255,469,243,433,23.8,36.2,719,0,2024-12-01 12:08:03
15:48:12.921,325,252,496,252,426,23.6,36.4,537,0,2024-12-01 12:08:04
15:15:29.186,322,225,451,231,426,23.5,35.6,732,0,2024-12-01 12:08:05
14:46:31.158,318,233,455,288,431,23.6,35.3,427,0,2024-12-01 12:08:06
14:48:16.781,342,272,458,237,437,23.4,35.4,354,0,2024-12-01 12:08:07
15:32:47.803,322,245,477,237,434,23.1,36.2,593,0,2024-12-01 12:08:08
15:02:43.111,314,247,467,253,442,23.0,35.6,605,0,2024-12-01 12:08:09
15:18:42.134,321,238,470,246,435,22.9,35.9,768,0,2024-12-01 12:08:10
15:14:45.306,302,251,463,186,441,22.6,35.7,711,0,2024-12-01 12:08:11
15:27:31.901,314,232,458,250,433,22.5,36.1,653,0,2024-12-01 12:08:12
15:51:19.350,335,253,491,260,413,22.2,36.7,531,0,2024-12-01 12:08:13
15:56:29.901,325,240,476,273,430,22.0,36.7,721,0,2024-12-01 12:08:14
15:34:03.882,318,231,501,249,429,22.0,36.3,589,0,2024-12-01 12:08:15
15:28:20.498,315,235,462,244,432,21.9,36.0,628,0,2024-12-01 12:08:16
15:30:26.765,304,241,453,249,437,21.7,36.1,558,0,2024-12-01 12:08:17
15:12:24.668,314,228,462,235,434,21.7,35.4,773,0,2024-12-01 12:08:18
15:35:10.948,324,234,474,248,408,21.5,36.5,502,0,2024-12-01 12:08:19
15:25:24.603,308,232,460,234,433,21.5,36.3,676,0,2024-12-01 12:08:20
15:09:26.516,308,249,503,242,422,21.5,35.9,617,0,2024-12-01 12:08:21
15:40:13.831,321,238,504,256,441,21.3,36.7,501,0,2024-12-01 12:08:22
15:51:15.123,337,206,467,236,422,21.3,36.5,542,0,2024-12-01 12:08:23
15:02:53.159,315,251,449,222,433,21.6,35.6,693,0,2024-12-01 12:08:24
15:49:42.710,325,233,473,252,401,21.3,36.7,529,0,2024-12-01 12:08:25
14:47:06.547,314,246,448,217,430,21.6,35.4,338,0,2024-12-01 12:08:26
14:55:51.538,317,247,443,223,420,21.6,35.3,634,0,2024-12-01 12:08:27
14:52:19.735,319,261,455,249,433,21.6,35.5,483,0,2024-12-01 12:08:28
15:34:51.410,317,222,472,245,431,21.4,36.5,570,0,2024-12-01 12:08:29
15:43:23.482,318,245,474,251,440,21.3,36.4,532,0,2024-12-01 12:08:30
15:46:30.963,315,249,472,260,463,21.2,36.4,496,0,2024-12-01 12:08:31
15:28:51.142,313,245,457,241,435,21.4,36.1,685,0,2024-12-01 12:08:32
15:17:23.906,317,246,458,221,440,21.4,35.9,674,0,2024-12-01 12:08:33
14:49:35.478,323,256,471,217,425,21.6,35.3,341,0,2024-12-01 12:08:34
15:03:12.192,319,238,454,280,424,21.5,35.9,647,0,2024-12-01 12:08:35
15:25:57.871,324,229,462,231,431,21.6,35.9,577,0,2024-12-01 12:08:36
15:10:51.631,301,246,444,237,440,21.5,35.6,786,0,2024-12-01 12:08:37
14:59:00.641,316,253,446,237,433,21.5,35.7,703,0,2024-12-01 12:08:38
15:53:21.876,317,244,474,248,440,21.2,36.4,490,0,2024-12-01 12:08:39
15:17:29.719,298,241,440,241,421,21.4,35.7,689,0,2024-12-01 12:08:40
15:46:44.165,316,243,478,260,436,21.4,36.4,558,0,2024-12-01 12:08:41
15:20:19.365,315,248,461,240,397,21.5,35.9,613,0,2024-12-01 12:08:42
15:46:36.243,317,225,478,261,438,21.3,36.3,524,0,2024-12-01 12:08:43
15:36:39.412,320,243,472,242,424,21.3,36.5,528,0,2024-12-01 12:08:44
15:18:11.477,323,246,460,240,419,21.6,35.8,821,0,2024-12-01 12:08:45
15:11:09.597,313,235,449,243,410,21.5,35.9,761,0,2024-12-01 12:08:46
15:47:29.069,324,239,469,243,432,21.3,36.3,568,0,2024-12-01 12:08:47
15:54:22.086,317,245,473,259,427,21.3,36.3,588,0,2024-12-01 12:08:48
14:58:33.697,327,246,446,228,420,21.5,35.9,701,0,2024-12-01 12:08:49
15:35:25.732,326,237,467,241,398,21.4,36.4,506,0,2024-12-01 12:08:50
15:18:23.103,322,211,455,236,434,21.4,35.9,852,0,2024-12-01 12:08:51
